task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
PER,0.9698033707865169,0.9711673699015471,0.9704848910751933,1422.0,,es,ancora,ancora-es-2.0,20.243853,81226,2603
overall,0.8047102959566486,0.889426399447132,0.844950213371266,,0.9861866889912098,es,ancora,ancora-es-2.0,20.243853,81226,2603
LOC,0.6949654491609082,0.6494464944649446,0.6714353838817357,1084.0,,es,conll,esp.testb.txt,11.638173,51533,1517
MISC,0.20984455958549222,0.23823529411764705,0.22314049586776857,340.0,,es,conll,esp.testb.txt,11.638173,51533,1517
ORG,0.7726957726957727,0.7964285714285714,0.784382694336968,1400.0,,es,conll,esp.testb.txt,11.638173,51533,1517
PER,0.8007033997655334,0.9292517006802721,0.8602015113350127,735.0,,es,conll,esp.testb.txt,11.638173,51533,1517
overall,0.6990527740189445,0.7257656645125035,0.7121588089330024,,0.961772068383366,es,conll,esp.testb.txt,11.638173,51533,1517
LOC,0.4805837049047426,0.5216014078310602,0.500253164556962,11365.0,,es,wikiann,wikiann-es.bio,190.095944,161715,25000
MISC,0.0,0.0,0.0,0.0,,es,wikiann,wikiann-es.bio,190.095944,161715,25000
ORG,0.3304535637149028,0.17025222551928784,0.2247246022031824,10784.0,,es,wikiann,wikiann-es.bio,190.095944,161715,25000
PER,0.4370835567128743,0.6781937017231134,0.5315760059612519,8415.0,,es,wikiann,wikiann-es.bio,190.095944,161715,25000
overall,0.3971520386803856,0.44074728438686034,0.4178155482840438,,0.6130167269579198,es,wikiann,wikiann-es.bio,190.095944,161715,25000
